[769, 300;
 1222, 530;
 1222, 529;
 1223, 528;
 1223, 527;
 1224, 526;
 1224, 524;
 1223, 523;
 1222, 523;
 1221, 522;
 1220, 522;
 1219, 521;
 1218, 521;
 1217, 520;
 1216, 520;
 1215, 519;
 1214, 519;
 1213, 518;
 1212, 518;
 1211, 517;
 1210, 517;
 1209, 516;
 1208, 516;
 1207, 515;
 1206, 515;
 1205, 514;
 1204, 514;
 1203, 513;
 1202, 513;
 1201, 512;
 1200, 512;
 1199, 511;
 1198, 511;
 1197, 510;
 1196, 510;
 1195, 509;
 1194, 509;
 1193, 508;
 1192, 508;
 1191, 507;
 1190, 507;
 1189, 506;
 1188, 506;
 1187, 505;
 1185, 505;
 1184, 504;
 1183, 504;
 1182, 503;
 1181, 503;
 1180, 502;
 1179, 502;
 1178, 501;
 1177, 501;
 1176, 500;
 1175, 500;
 1174, 499;
 1173, 499;
 1172, 498;
 1171, 498;
 1170, 497;
 1169, 497;
 1168, 496;
 1167, 496;
 1166, 495;
 1165, 495;
 1164, 494;
 1163, 494;
 1162, 493;
 1161, 493;
 1160, 492;
 1159, 492;
 1158, 491;
 1157, 491;
 1156, 490;
 1155, 490;
 1154, 489;
 1153, 489;
 1152, 488;
 1151, 488;
 1150, 487;
 1149, 487;
 1148, 486;
 1147, 486;
 1146, 485;
 1145, 485;
 1144, 484;
 1143, 484;
 1142, 483;
 1141, 483;
 1140, 482;
 1139, 482;
 1138, 481;
 1137, 481;
 1136, 480;
 1135, 480;
 1134, 479;
 1133, 479;
 1132, 478;
 1131, 478;
 1130, 477;
 1129, 477;
 1128, 476;
 1127, 476;
 1126, 475;
 1125, 475;
 1124, 474;
 1123, 474;
 1122, 473;
 1121, 473;
 1120, 472;
 1119, 472;
 1118, 471;
 1117, 471;
 1116, 470;
 1115, 470;
 1114, 469;
 1113, 469;
 1112, 468;
 1110, 468;
 1109, 467;
 1108, 467;
 1107, 466;
 1106, 466;
 1105, 465;
 1104, 465;
 1103, 464;
 1102, 464;
 1101, 463;
 1100, 463;
 1099, 462;
 1098, 462;
 1097, 461;
 1096, 461;
 1095, 460;
 1094, 460;
 1093, 459;
 1092, 459;
 1091, 458;
 1090, 458;
 1089, 457;
 1088, 457;
 1087, 456;
 1086, 456;
 1085, 455;
 1084, 455;
 1083, 454;
 1082, 454;
 1081, 453;
 1080, 453;
 1079, 452;
 1078, 452;
 1077, 451;
 1076, 451;
 1075, 450;
 1074, 450;
 1073, 449;
 1072, 449;
 1071, 448;
 1070, 448;
 1069, 447;
 1068, 447;
 1067, 446;
 1066, 446;
 1065, 445;
 1064, 445;
 1063, 444;
 1062, 444;
 1061, 443;
 1060, 443;
 1059, 442;
 1058, 442;
 1057, 441;
 1056, 441;
 1055, 440;
 1054, 440;
 1053, 439;
 1052, 439;
 1051, 438;
 1050, 438;
 1049, 437;
 1048, 437;
 1047, 436;
 1046, 436;
 1045, 435;
 1044, 435;
 1043, 434;
 1042, 434;
 1041, 433;
 1040, 433;
 1039, 432;
 1038, 432;
 1037, 431;
 1036, 431;
 1035, 430;
 1033, 430;
 1032, 429;
 1031, 429;
 1030, 428;
 1029, 428;
 1028, 427;
 1027, 427;
 1026, 426;
 1025, 426;
 1024, 425;
 1023, 425;
 1022, 424;
 1021, 424;
 1020, 423;
 1019, 423;
 1018, 422;
 1017, 422;
 1016, 421;
 1015, 421;
 1014, 420;
 1013, 420;
 1012, 419;
 1011, 419;
 1010, 418;
 1009, 418;
 1008, 417;
 1007, 417;
 1006, 416;
 1005, 416;
 1004, 415;
 1003, 415;
 1002, 414;
 1001, 414;
 1000, 413;
 999, 413;
 998, 412;
 997, 412;
 996, 411;
 995, 411;
 994, 410;
 993, 410;
 992, 409;
 991, 409;
 990, 408;
 989, 408;
 988, 407;
 987, 407;
 986, 406;
 985, 406;
 984, 405;
 983, 405;
 982, 404;
 981, 404;
 980, 403;
 979, 403;
 978, 402;
 977, 402;
 976, 401;
 975, 401;
 974, 400;
 973, 400;
 972, 399;
 971, 399;
 970, 398;
 969, 398;
 968, 397;
 967, 397;
 966, 396;
 965, 396;
 964, 395;
 963, 395;
 962, 394;
 961, 394;
 960, 393;
 958, 393;
 957, 392;
 956, 392;
 955, 391;
 954, 391;
 953, 390;
 952, 390;
 951, 389;
 950, 389;
 949, 388;
 948, 388;
 947, 387;
 946, 387;
 945, 386;
 944, 386;
 943, 385;
 942, 385;
 941, 384;
 940, 384;
 939, 383;
 938, 383;
 937, 382;
 936, 382;
 935, 381;
 934, 381;
 933, 380;
 932, 380;
 931, 379;
 930, 379;
 929, 378;
 928, 378;
 927, 377;
 926, 377;
 925, 376;
 924, 376;
 923, 375;
 922, 375;
 921, 374;
 920, 374;
 919, 373;
 918, 373;
 917, 372;
 916, 372;
 915, 371;
 914, 371;
 913, 370;
 912, 370;
 911, 369;
 910, 369;
 909, 368;
 908, 368;
 907, 367;
 906, 367;
 905, 366;
 904, 366;
 903, 365;
 902, 365;
 901, 364;
 900, 364;
 899, 363;
 898, 363;
 897, 362;
 896, 362;
 895, 361;
 894, 361;
 893, 360;
 892, 360;
 891, 359;
 890, 359;
 889, 358;
 888, 358;
 887, 357;
 886, 357;
 885, 356;
 883, 356;
 882, 355;
 881, 355;
 880, 354;
 879, 354;
 878, 353;
 877, 353;
 876, 352;
 875, 352;
 874, 351;
 873, 351;
 872, 350;
 871, 350;
 870, 349;
 869, 349;
 868, 348;
 867, 348;
 866, 347;
 865, 347;
 864, 346;
 863, 346;
 862, 345;
 861, 345;
 860, 344;
 859, 344;
 858, 343;
 857, 343;
 856, 342;
 855, 342;
 854, 341;
 853, 341;
 852, 340;
 851, 340;
 850, 339;
 849, 339;
 848, 338;
 847, 338;
 846, 337;
 845, 337;
 844, 336;
 843, 336;
 842, 335;
 841, 335;
 840, 334;
 839, 334;
 838, 333;
 837, 333;
 836, 332;
 835, 332;
 834, 331;
 833, 331;
 832, 330;
 831, 330;
 830, 329;
 829, 329;
 828, 328;
 827, 328;
 826, 327;
 825, 327;
 824, 326;
 823, 326;
 822, 325;
 821, 325;
 820, 324;
 819, 324;
 818, 323;
 817, 323;
 816, 322;
 815, 322;
 814, 321;
 813, 321;
 812, 320;
 811, 320;
 810, 319;
 808, 319;
 807, 318;
 806, 318;
 805, 317;
 804, 317;
 803, 316;
 802, 316;
 801, 315;
 800, 315;
 799, 314;
 798, 314;
 797, 313;
 796, 313;
 795, 312;
 794, 312;
 793, 311;
 792, 311;
 791, 310;
 790, 310;
 789, 309;
 788, 309;
 787, 308;
 786, 308;
 785, 307;
 784, 307;
 783, 306;
 782, 306;
 781, 305;
 780, 305;
 779, 304;
 778, 304;
 777, 303;
 776, 303;
 775, 302;
 774, 302;
 773, 301;
 772, 301;
 771, 300]
